DEBUG FILTRADO: {saleNumber: '20250924-0003', originalDate: '2025-09-24T00:14:38.82764+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250924-0002', originalDate: '2025-09-24T00:14:12.793353+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250924-0001', originalDate: '2025-09-24T00:13:54.769319+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0028', originalDate: '2025-09-23T11:22:51.174234+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0027', originalDate: '2025-09-23T11:22:50.234454+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0026', originalDate: '2025-09-23T10:46:53.599196+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0025', originalDate: '2025-09-23T10:38:36.951109+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0024', originalDate: '2025-09-23T10:28:35.161452+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0023', originalDate: '2025-09-23T10:24:02.813267+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0022', originalDate: '2025-09-23T10:20:08.980797+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0021', originalDate: '2025-09-23T09:45:03.521733+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0020', originalDate: '2025-09-23T09:41:07.821573+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0019', originalDate: '2025-09-23T09:25:09.494295+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0018', originalDate: '2025-09-23T09:23:23.817724+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0017', originalDate: '2025-09-23T09:15:12.106734+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0016', originalDate: '2025-09-23T08:47:44.449897+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0015', originalDate: '2025-09-23T08:41:50.125418+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0014', originalDate: '2025-09-23T08:41:20.48722+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0013', originalDate: '2025-09-23T08:36:28.686014+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0012', originalDate: '2025-09-23T08:34:45.01049+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0011', originalDate: '2025-09-23T06:06:47.474451+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0010', originalDate: '2025-09-23T05:43:34.155987+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0009', originalDate: '2025-09-23T04:46:50.52507+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0008', originalDate: '2025-09-23T04:38:03.871591+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0007', originalDate: '2025-09-23T04:37:22.39069+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0006', originalDate: '2025-09-23T04:37:07.64295+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0005', originalDate: '2025-09-23T04:25:25.270824+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0004', originalDate: '2025-09-23T04:20:00.160341+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0003', originalDate: '2025-09-23T04:13:47.778003+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0002', originalDate: '2025-09-23T04:13:06.260449+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250923-0001', originalDate: '2025-09-23T03:58:32.782019+00:00', saleDateStr: '2025-09-23', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250922-0009', originalDate: '2025-09-22T22:32:01.376301+00:00', saleDateStr: '2025-09-22', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250922-0008', originalDate: '2025-09-22T22:29:05.286629+00:00', saleDateStr: '2025-09-22', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250922-0007', originalDate: '2025-09-22T22:27:57.353675+00:00', saleDateStr: '2025-09-22', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250922-0006', originalDate: '2025-09-22T22:26:07.589593+00:00', saleDateStr: '2025-09-22', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250922-0005', originalDate: '2025-09-22T22:18:53.92973+00:00', saleDateStr: '2025-09-22', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250922-0004', originalDate: '2025-09-22T22:17:44.683393+00:00', saleDateStr: '2025-09-22', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250922-0003', originalDate: '2025-09-22T22:11:54.781649+00:00', saleDateStr: '2025-09-22', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250922-0002', originalDate: '2025-09-22T22:06:38.470962+00:00', saleDateStr: '2025-09-22', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250922-0001', originalDate: '2025-09-22T21:56:44.872607+00:00', saleDateStr: '2025-09-22', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0012', originalDate: '2025-09-25T19:36:44.355636+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0011', originalDate: '2025-09-25T19:35:41.58876+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0010', originalDate: '2025-09-25T19:28:38.595215+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0009', originalDate: '2025-09-25T19:21:43.531613+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0008', originalDate: '2025-09-25T17:43:14.715422+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0007', originalDate: '2025-09-25T17:04:56.264836+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0006', originalDate: '2025-09-25T16:39:28.789096+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0005', originalDate: '2025-09-25T07:23:30.593273+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0004', originalDate: '2025-09-25T07:20:42.257753+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0003', originalDate: '2025-09-25T07:19:53.031858+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0002', originalDate: '2025-09-25T07:18:57.863219+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250925-0001', originalDate: '2025-09-25T07:16:47.662698+00:00', saleDateStr: '2025-09-25', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250924-0033', originalDate: '2025-09-24T11:50:55.394058+00:00', saleDateStr: '2025-09-24', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250924-0032', originalDate: '2025-09-24T11:01:20.024643+00:00', saleDateStr: '2025-09-24', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250924-0031', originalDate: '2025-09-24T10:59:56.541398+00:00', saleDateStr: '2025-09-24', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250924-0030', originalDate: '2025-09-24T10:59:08.626677+00:00', saleDateStr: '2025-09-24', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250924-0029', originalDate: '2025-09-24T10:56:32.0596+00:00', saleDateStr: '2025-09-24', startDate: '2025-09-24', endDate: '2025-09-24', …}
useSales.ts:195 🔍 DEBUG FILTRADO: {saleNumber: '20250924-0028', originalDate: '2025-09-24T10:55:59.343503+00:00', saleDateStr: '2025-09-24', startDate: '2025-09-24', endDate: '2025-09-24', …}
